iter	Passed	Remaining
0	9	985
1	15	759
2	16	541
3	17	427
4	18	360
5	20	316
6	21	283
7	22	259
8	23	240
9	24	224
10	26	210
11	27	199
12	28	189
13	29	182
14	30	175
15	32	168
16	33	162
17	34	157
18	35	151
19	36	147
20	38	143
21	39	139
22	40	136
23	42	133
24	43	131
25	45	128
26	46	125
27	47	123
28	49	120
29	50	117
30	51	115
31	52	112
32	54	109
33	55	107
34	56	105
35	57	102
36	58	100
37	60	98
38	61	96
39	62	93
40	63	91
41	64	88
42	65	86
43	66	85
44	67	83
45	69	81
46	70	79
47	71	77
48	72	75
49	74	74
50	75	72
51	76	70
52	77	68
53	79	67
54	79	65
55	80	63
56	82	62
57	83	60
58	84	58
59	85	57
60	87	55
61	88	54
62	89	52
63	90	51
64	92	49
65	93	48
66	94	46
67	95	45
68	96	43
69	98	42
70	99	40
71	100	39
72	101	37
73	102	36
74	104	34
75	105	33
76	106	31
77	107	30
78	108	28
79	110	27
80	111	26
81	112	24
82	113	23
83	115	21
84	116	20
85	117	19
86	118	17
87	120	16
88	121	14
89	122	13
90	123	12
91	125	10
92	126	9
93	127	8
94	128	6
95	130	5
96	131	4
97	132	2
98	134	1
99	135	0
